round,client_id,device_type,base_snr,current_snr,channel_variance,max_bottleneck_capability,bottleneck,epochs,loss,energy_level,compression_ratio,adaptation_factor
8,4,mid_range,13.89022928161947,17.878997495416574,5.513812717382455,256,256,3,0.004323620977347181,0.5743240945430985,0.0,1.0
8,5,low_power,13.265795479828247,14.015681005188565,4.8472186703494495,128,96,3,0.00427628144632727,0.6884927966297277,0.625,0.75
9,1,low_power,3.756708718274732,5.419117161231291,4.063141030835816,128,72,3,0.004153240209793201,0.43154199629409756,0.71875,0.5625
9,2,mid_range,12.21070348655473,7.1347191142243815,5.588129557886634,256,144,3,0.004168060631858629,0.5105687028953024,0.4375,0.5625
9,3,mid_range,15.332286086450104,13.50379001551796,3.359949436760228,256,192,3,0.004033792254397239,0.8084136198565319,0.25,0.75
9,4,mid_range,13.89022928161947,11.567678632170434,5.513812717382455,256,192,3,0.004210258367407717,0.5743240945430985,0.25,0.75
9,5,low_power,13.265795479828247,9.192115130055397,4.8472186703494495,128,96,3,0.004141462979351253,0.6884927966297277,0.625,0.75
10,1,low_power,3.756708718274732,1.5852920913951953,4.063141030835816,128,64,3,0.004056580952858649,0.43154199629409756,0.75,0.5
10,2,mid_range,12.21070348655473,7.751392074814711,5.588129557886634,256,144,3,0.0041055192406743,0.5105687028953024,0.4375,0.5625
10,3,mid_range,15.332286086450104,13.840291152097807,3.359949436760228,256,192,3,0.0039769913439221425,0.8084136198565319,0.25,0.75
10,4,mid_range,13.89022928161947,15.386506510291511,5.513812717382455,256,256,3,0.004079000833988232,0.5743240945430985,0.0,1.0
10,5,low_power,13.265795479828247,11.955419508374925,4.8472186703494495,128,96,3,0.00407039679617011,0.6884927966297277,0.625,0.75
